000001	平安银行
000002	万科A
000066	中国长城
000069	华侨城A
000100	TCL科技
000157	中联重科
000166	申万宏源
000333	美的集团
000338	潍柴动力
000425	徐工机械
000538	云南白药
000568	泸州老窖
000596	古井贡酒
000625	长安汽车
000627	天茂集团
000651	格力电器
000656	金科股份
000661	长春高新
000671	阳光城
000703	恒逸石化
000708	中信特钢
000725	京东方A
000728	国元证券
000768	中航西飞
000776	广发证券
000783	长江证券
000786	北新建材
000858	五 粮 液
000860	顺鑫农业
000876	新 希 望
000895	双汇发展
000938	紫光股份
000961	中南建设
000963	华东医药
000977	浪潮信息
001979	招商蛇口
002001	新和成
002007	华兰生物
002024	苏宁易购
002027	分众传媒
002032	苏泊尔
002044	美年健康
002049	紫光国微
002050	三花智控
002120	韵达股份
002129	中环股份
002142	宁波银行
002146	荣盛发展
002153	石基信息
002157	正邦科技
002179	中航光电
002202	金风科技
002230	科大讯飞
002236	大华股份
002241	歌尔股份
002271	东方雨虹
002304	洋河股份
002311	海大集团
002352	顺丰控股
002371	北方华创
002384	东山精密
002410	广联达
002414	高德红外
002415	海康威视
002422	科伦药业
002456	欧菲光
002460	赣锋锂业
002463	沪电股份
002475	立讯精密
002493	荣盛石化
002508	老板电器
002555	三七互娱
002558	巨人网络
002594	比亚迪
002600	领益智造
002601	龙蟒佰利
002602	世纪华通
002607	中公教育
002673	西部证券
002714	牧原股份
002736	国信证券
002773	康弘药业
002812	恩捷股份
002821	凯莱英
002841	视源股份
002916	深南电路
300003	乐普医疗
300014	亿纬锂能
300015	爱尔眼科
300033	同花顺
300059	东方财富
300122	智飞生物
300124	汇川技术
300136	信维通信
300142	沃森生物
300144	宋城演艺
300347	泰格医药
300408	三环集团
300413	芒果超媒
300433	蓝思科技
300498	温氏股份
300529	健帆生物
300601	康泰生物
300628	亿联网络
300676	华大基因
600000	浦发银行
600004	白云机场
600009	上海机场
600010	包钢股份
600011	华能国际
600015	华夏银行
600016	民生银行
600018	上港集团
600019	宝钢股份
600025	华能水电
600027	华电国际
600028	中国石化
600029	南方航空
600030	中信证券
600031	三一重工
600036	招商银行
600048	保利地产
600050	中国联通
600061	国投资本
600066	宇通客车
600068	葛洲坝
600085	同仁堂
600104	上汽集团
600109	国金证券
600111	北方稀土
600115	东方航空
600118	中国卫星
600150	中国船舶
600161	天坛生物
600176	中国巨石
600177	雅戈尔
600183	生益科技
600196	复星医药
600208	新湖中宝
600233	圆通速递
600271	航天信息
600276	恒瑞医药
600297	广汇汽车
600299	安迪苏
600309	万华化学
600332	白云山
600340	华夏幸福
600346	恒力石化
600352	浙江龙盛
600362	江西铜业
600369	西南证券
600383	金地集团
600390	五矿资本
600406	国电南瑞
600436	片仔癀
600438	通威股份
600482	中国动力
600487	亨通光电
600489	中金黄金
600498	烽火通信
600519	贵州茅台
600522	中天科技
600547	山东黄金
600570	恒生电子
600584	长电科技
600585	海螺水泥
600588	用友网络
600600	青岛啤酒
600606	绿地控股
600637	东方明珠
600655	豫园股份
600660	福耀玻璃
600690	海尔智家
600703	三安光电
600705	中航资本
600741	华域汽车
600760	中航沈飞
600763	通策医疗
600795	国电电力
600809	山西汾酒
600837	海通证券
600845	宝信软件
600848	上海临港
600872	中炬高新
600886	国投电力
600887	伊利股份
600893	航发动力
600900	长江电力
600919	江苏银行
600926	杭州银行
600958	东方证券
600998	九州通
600999	招商证券
601006	大秦铁路
601009	南京银行
601012	隆基股份
601021	春秋航空
601088	中国神华
601100	恒立液压
601108	财通证券
601111	中国国航
601117	中国化学
601155	新城控股
601166	兴业银行
601169	北京银行
601186	中国铁建
601198	东兴证券
601211	国泰君安
601216	君正集团
601225	陕西煤业
601229	上海银行
601231	环旭电子
601238	广汽集团
601288	农业银行
601318	中国平安
601328	交通银行
601336	新华保险
601360	三六零
601377	兴业证券
601398	工商银行
601555	东吴证券
601600	中国铝业
601601	中国太保
601607	上海医药
601618	中国中冶
601628	中国人寿
601633	长城汽车
601668	中国建筑
601669	中国电建
601688	华泰证券
601727	上海电气
601766	中国中车
601788	光大证券
601800	中国交建
601808	中海油服
601818	光大银行
601838	成都银行
601857	中国石油
601872	招商轮船
601877	正泰电器
601878	浙商证券
601881	中国银河
601888	中国中免
601899	紫金矿业
601901	方正证券
601919	中远海控
601933	永辉超市
601939	建设银行
601985	中国核电
601988	中国银行
601989	中国重工
601998	中信银行
603019	中科曙光
603156	养元饮品
603160	汇顶科技
603259	药明康德
603288	海天味业
603369	今世缘
603658	安图生物
603799	华友钴业
603833	欧派家居
603899	晨光文具
603986	兆易创新
603993	洛阳钼业
